id_fijo,nombre,orden,url,id_modal,zona,accesible,linea,tabla_origen,zona_actualizada,correspondencias
711,Gregorio Marañón,19,https://www.metromadrid.es/es/linea/linea-10#estacion-711,502.0,A,,10,linea_10,,"[""7""]"
404,Alonso Martínez,20,https://www.metromadrid.es/es/linea/linea-10#estacion-404,413.0,A,,10,linea_10,,"[""4"", ""5""]"
110,Tribunal,21,https://www.metromadrid.es/es/linea/linea-10#estacion-110,633.0,A,,10,linea_10,,"[""1""]"
308,Plaza de España,22,https://www.metromadrid.es/es/linea/linea-10#estacion-308,587.0,A,,10,linea_10,,"[""3""]"
625,Príncipe Pío,23,https://www.metromadrid.es/es/linea/linea-10#estacion-625,592.0,A,,10,linea_10,,"[""6"", ""Ramal""]"
1013,Lago,24,https://www.metromadrid.es/es/linea/linea-10#estacion-1013,531.0,A,,10,linea_10,,[]
1014,Batán,25,https://www.metromadrid.es/es/linea/linea-10#estacion-1014,444.0,A,,10,linea_10,,[]
530,Casa de Campo,26,https://www.metromadrid.es/es/linea/linea-10#estacion-530,459.0,A,,10,linea_10,,"[""5""]"
1016,Colonia Jardín,27,https://www.metromadrid.es/es/linea/linea-10#estacion-1016,468.0,A,,10,linea_10,,[]
1018,Aviación Española,28,https://www.metromadrid.es/es/linea/linea-10#estacion-1018,437.0,A,,10,linea_10,,[]
1019,Cuatro Vientos,29,https://www.metromadrid.es/es/linea/linea-10#estacion-1019,476.0,A,,10,linea_10,,[]
1020,Joaquín Vilumbrales,30,https://www.metromadrid.es/es/linea/linea-10#estacion-1020,517.0,A,,10,linea_10,,[]
1021,Puerta del Sur,31,https://www.metromadrid.es/es/linea/linea-10#estacion-1021,599.0,A,,10,linea_10,,"[""12""]"
605,Plaza Elíptica,1,https://www.metromadrid.es/es/linea/linea-11#estacion-605,588.0,A,,11,linea_11,,"[""6""]"
1102,Abrantes,2,https://www.metromadrid.es/es/linea/linea-11#estacion-1102,403.0,A,,11,linea_11,,[]
1103,Pan Bendito,3,https://www.metromadrid.es/es/linea/linea-11#estacion-1103,572.0,A,,11,linea_11,,[]
1104,San Francisco,4,https://www.metromadrid.es/es/linea/linea-11#estacion-1104,618.0,A,,11,linea_11,,[]
1105,Carabanchel Alto,5,https://www.metromadrid.es/es/linea/linea-11#estacion-1105,456.0,A,,11,linea_11,,[]
1106,La Peseta,6,https://www.metromadrid.es/es/linea/linea-11#estacion-1106,527.0,A,,11,linea_11,,[]
1107,La Fortuna,7,https://www.metromadrid.es/es/linea/linea-11#estacion-1107,522.0,A,,11,linea_11,,[]
1201,Puerta del Sur,1,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1201,599.0,A,,12,linea_12,,"[""10""]"
1202,Parque Lisboa,2,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1202,574.0,A,,12,linea_12,,[]
1203,Alcorcón Central,3,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1203,408.0,A,,12,linea_12,,[]
1204,Parque Oeste,4,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1204,578.0,A,,12,linea_12,,[]
1205,Universidad Rey Juan Carlos,5,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1205,634.0,A,,12,linea_12,,[]
1206,Móstoles Central,6,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1206,559.0,A,,12,linea_12,,[]
1207,Pradillo,7,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1207,590.0,A,,12,linea_12,,[]
1208,Hospital de Móstoles,8,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1208,508.0,A,,12,linea_12,,[]
1209,Manuela Malasaña,9,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1209,547.0,A,,12,linea_12,,[]
1210,Loranca,10,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1210,541.0,A,,12,linea_12,,[]
1211,Parque Europa,11,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1211,577.0,A,,12,linea_12,,[]
1212,Hospital de Fuenlabrada,12,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1212,507.0,A,,12,linea_12,,[]
1214,Fuenlabrada Central,13,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1214,496.0,A,,12,linea_12,,[]
1215,Parque de los Estados,14,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1215,575.0,A,,12,linea_12,,[]
1217,Arroyo Culebro,15,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1217,426.0,A,,12,linea_12,,[]
1218,Conservatorio,16,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1218,472.0,A,,12,linea_12,,[]
1219,Alonso de Mendoza,17,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1219,412.0,A,,12,linea_12,,[]
1220,Getafe Central,18,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1220,499.0,A,,12,linea_12,,[]
1221,Juan de la Cierva,19,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1221,518.0,A,,12,linea_12,,[]
358,El Casar,20,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-358,485.0,A,,12,linea_12,,"[""3""]"
1223,Los Espartales,21,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1223,542.0,A,,12,linea_12,,[]
1224,El Bercial,22,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1224,481.0,A,,12,linea_12,,[]
1225,El Carrascal,23,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1225,484.0,A,,12,linea_12,,[]
1226,Julián Besteiro,24,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1226,519.0,A,,12,linea_12,,[]
1227,Casa del Reloj,25,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1227,460.0,A,,12,linea_12,,[]
1228,Hospital Severo Ochoa,26,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1228,511.0,A,,12,linea_12,,[]
1229,Leganés Central,27,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1229,538.0,A,,12,linea_12,,[]
1230,San Nicasio,28,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1230,620.0,A,,12,linea_12,,[]
