id_fijo,nombre,linea,correspondencias
524,Vista Alegre,5,[]
525,Carabanchel,5,[]
526,Eugenia de Montijo,5,[]
527,Aluche,5,[]
528,Empalme,5,[]
529,Campamento,5,[]
530,Casa de Campo,5,"[""10""]"
601,Laguna,6,[]
602,Carpetana,6,[]
523,Oporto,6,"[""5""]"
604,Opañel,6,[]
605,Plaza Elíptica,6,"[""11""]"
606,Usera,6,[]
301,Legazpi,6,"[""3""]"
608,Arganzuela – Planetario,6,[]
609,Méndez Álvaro,6,[]
118,Pacífico,6,"[""1""]"
611,Conde de Casal,6,[]
612,Sainz de Baranda,6,"[""9""]"
613,O’Donnell,6,[]
202,Manuel Becerra,6,"[""2""]"
410,Diego de León,6,"[""4"", ""5""]"
411,Avenida de América,6,"[""4"", ""7"", ""9""]"
617,República Argentina,6,[]
618,Nuevos Ministerios,6,"[""10"", ""8""]"
106,Cuatro Caminos,6,"[""1"", ""2""]"
620,Guzmán el Bueno,6,"[""7""]"
621,Vicente Aleixandre,6,[]
622,Ciudad Universitaria,6,[]
311,Moncloa,6,"[""3""]"
310,Argüelles,6,"[""3"", ""4""]"
625,Príncipe Pío,6,"[""10"", ""Ramal""]"
623,Puerta del Ángel,6,[]
626,Alto de Extremadura,6,[]
628,Lucero,6,[]
760,Hospital del Henares,7,[]
759,Henares,7,[]
758,Jarama,7,[]
757,San Fernando,7,[]
756,La Rambla,7,[]
755,Coslada Central,7,[]
754,Barrio del Puerto,7,[]
751,Estadio Metropolitano,7,[]
701,Las Musas,7,[]
702,San Blas,7,[]
703,Simancas,7,[]
704,García Noblejas,7,[]
705,Ascao,7,[]
505,Pueblo Nuevo,7,"[""5""]"
707,Barrio de la Concepción,7,[]
708,Parque de las Avenidas,7,[]
709,Cartagena,7,[]
411,Avenida de América,7,"[""4"", ""6"", ""9""]"
711,Gregorio Marañón,7,"[""10""]"
712,Alonso Cano,7,[]
214,Canal,7,"[""2""]"
714,Islas Filipinas,7,[]
620,Guzmán el Bueno,7,"[""6""]"
716,Francos Rodríguez,7,[]
717,Valdezarza,7,[]
718,Antonio Machado,7,[]
719,Peñagrande,7,[]
720,Avenida de la Ilustración,7,[]
721,Lacoma,7,[]
722,Arroyofresno,7,[]
723,Pitis,7,[]
618,Nuevos Ministerios,8,"[""10"", ""6""]"
802,Colombia,8,"[""9""]"
803,Pinar del Rey,8,[]
418,Mar de Cristal,8,"[""4""]"
805,Feria de Madrid,8,[]
806,Aeropuerto T1-T2-T3,8,[]
807,Barajas,8,[]
808,Aeropuerto T4,8,[]
952,Paco de Lucía,9,[]
951,Mirasierra,9,[]
901,Herrera Oria,9,[]
902,Barrio del Pilar,9,[]
903,Ventilla,9,[]
101,Plaza de Castilla,9,"[""1"", ""10""]"
905,Duque de Pastrana,9,[]
906,Pío XII,9,[]
802,Colombia,9,"[""8""]"
908,Concha Espina,9,[]
909,Cruz del Rayo,9,[]
411,Avenida de América,9,"[""4"", ""6"", ""7""]"
510,Núñez de Balboa,9,"[""5""]"
204,Príncipe de Vergara,9,"[""2""]"
913,Ibiza,9,[]
612,Sainz de Baranda,9,"[""6""]"
915,Estrella,9,[]
916,Vinateros,9,[]
917,Artilleros,9,[]
918,Pavones,9,[]
919,Valdebernardo,9,[]
920,Vicálvaro,9,[]
921,San Cipriano,9,[]
922,Puerta de Arganda,9,[]
924,Rivas Urbanizaciones,9,[]
925,Rivas Futura,9,[]
926,Rivas Vaciamadrid,9,[]
927,La Poveda,9,[]
928,Arganda del Rey,9,[]
209,Ópera,Ramal,"[""2"", ""5""]"
625,Príncipe Pío,Ramal,"[""10"", ""6""]"
