id_estacion,linea,nombre_estacion,id_modal,url,zona,accesible
1102,11,Abrantes,403.0,https://www.metromadrid.es/es/linea/linea-11#estacion-1102,A,False
1103,11,Pan Bendito,572.0,https://www.metromadrid.es/es/linea/linea-11#estacion-1103,A,False
1104,11,San Francisco,618.0,https://www.metromadrid.es/es/linea/linea-11#estacion-1104,A,False
1105,11,Carabanchel Alto,456.0,https://www.metromadrid.es/es/linea/linea-11#estacion-1105,A,False
1106,11,La Peseta,527.0,https://www.metromadrid.es/es/linea/linea-11#estacion-1106,A,False
1107,11,La Fortuna,522.0,https://www.metromadrid.es/es/linea/linea-11#estacion-1107,A,False
1201,12,Puerta del Sur,599.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1201,A,False
1202,12,Parque Lisboa,574.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1202,A,False
1203,12,Alcorcón Central,408.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1203,A,False
1204,12,Parque Oeste,578.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1204,A,False
1205,12,Universidad Rey Juan Carlos,634.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1205,A,False
1206,12,Móstoles Central,559.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1206,A,False
1207,12,Pradillo,590.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1207,A,False
1208,12,Hospital de Móstoles,508.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1208,A,False
1209,12,Manuela Malasaña,547.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1209,A,False
1210,12,Loranca,541.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1210,A,False
1211,12,Parque Europa,577.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1211,A,False
1212,12,Hospital de Fuenlabrada,507.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1212,A,False
