station_id,linea,estacion_nombre,tipo_conexion,nombre_conexion,icono,descripcion
807,8,Barajas,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
411,9,Avenida de América,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
902,9,Barrio del Pilar,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
802,9,Colombia,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
908,9,Concha Espina,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
909,9,Cruz del Rayo,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
901,9,Herrera Oria,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
951,9,Mirasierra,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
952,9,Paco de Lucía,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
101,9,Plaza de Castilla,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
903,9,Ventilla,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
625,R,Príncipe Pío,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
209,R,Ópera,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
