line_number,station_name,station_id,url
4,Diego de León,410,https://www.metromadrid.es/es/linea/linea-4#estacion-410
4,Avenida de América,411,https://www.metromadrid.es/es/linea/linea-4#estacion-411
4,Prosperidad,412,https://www.metromadrid.es/es/linea/linea-4#estacion-412
4,Alfonso XIII,413,https://www.metromadrid.es/es/linea/linea-4#estacion-413
4,Avenida de la Paz,414,https://www.metromadrid.es/es/linea/linea-4#estacion-414
4,Arturo Soria,415,https://www.metromadrid.es/es/linea/linea-4#estacion-415
4,Esperanza,416,https://www.metromadrid.es/es/linea/linea-4#estacion-416
4,Canillas,417,https://www.metromadrid.es/es/linea/linea-4#estacion-417
4,Mar de Cristal,418,https://www.metromadrid.es/es/linea/linea-4#estacion-418
4,San Lorenzo,419,https://www.metromadrid.es/es/linea/linea-4#estacion-419
4,Parque de Santa María,420,https://www.metromadrid.es/es/linea/linea-4#estacion-420
4,Hortaleza,421,https://www.metromadrid.es/es/linea/linea-4#estacion-421
4,Manoteras,422,https://www.metromadrid.es/es/linea/linea-4#estacion-422
4,Pinar de Chamartín,153,https://www.metromadrid.es/es/linea/linea-4#estacion-153
5,Alameda de Osuna,552,https://www.metromadrid.es/es/linea/linea-5#estacion-552
5,El Capricho,551,https://www.metromadrid.es/es/linea/linea-5#estacion-551
5,Canillejas,501,https://www.metromadrid.es/es/linea/linea-5#estacion-501
5,Torre Arias,502,https://www.metromadrid.es/es/linea/linea-5#estacion-502
5,Suanzes,503,https://www.metromadrid.es/es/linea/linea-5#estacion-503
5,Ciudad Lineal,504,https://www.metromadrid.es/es/linea/linea-5#estacion-504
5,Pueblo Nuevo,505,https://www.metromadrid.es/es/linea/linea-5#estacion-505
5,Quintana,506,https://www.metromadrid.es/es/linea/linea-5#estacion-506
5,El Carmen,507,https://www.metromadrid.es/es/linea/linea-5#estacion-507
5,Ventas,201,https://www.metromadrid.es/es/linea/linea-5#estacion-201
5,Diego de León,410,https://www.metromadrid.es/es/linea/linea-5#estacion-410
5,Núñez de Balboa,510,https://www.metromadrid.es/es/linea/linea-5#estacion-510
5,Rubén Darío,511,https://www.metromadrid.es/es/linea/linea-5#estacion-511
5,Alonso Martínez,404,https://www.metromadrid.es/es/linea/linea-5#estacion-404
5,Chueca,513,https://www.metromadrid.es/es/linea/linea-5#estacion-513
5,Gran Vía,111,https://www.metromadrid.es/es/linea/linea-5#estacion-111
5,Callao,307,https://www.metromadrid.es/es/linea/linea-5#estacion-307
5,Ópera,216,https://www.metromadrid.es/es/linea/linea-5#estacion-216
5,La Latina,517,https://www.metromadrid.es/es/linea/linea-5#estacion-517 (sic)
5,Puerta de Toledo,518,https://www.metromadrid.es/es/linea/linea-5#estacion-518
5,Acacias,519,https://www.metromadrid.es/es/linea/linea-5#estacion-519
5,Pirámides,520,https://www.metromadrid.es/es/linea/linea-5#estacion-520 (sic)
5,Marqués de Vadillo,521,https://www.metromadrid.es/es/linea/linea-5#estacion-521
5,Urgel,522,https://www.metromadrid.es/es/linea/linea-5#estacion-522
5,Oporto,523,https://www.metromadrid.es/es/linea/linea-5#estacion-523
